age,sex,income,sib_num,sib_order,family_conflict,family_mental_health,peer_victimization,school_safety,neighborhood_safety,adi,structural_stigma
10.25,M,7.5,2,2,2.25,0,10.5,20,4,25,-0.7891287
10.25,F,2.5,0,1,0.75,0,10.5,18,4.333333333333333,36,-1.3974755
9.5,F,7,4,2,0.25,0,9,22.5,4,48,1.0425177
10.166666666666666,M,9,3,2,3.75,0,11.5,17.5,3.6666666666666665,28,-1.1650348
9.916666666666666,M,5.75,0,1,4.5,1,10,17.75,3.6666666666666665,17,1.0517093
9.166666666666666,M,6.5,0,1,2.5,1,13,16.75,3,48,1.0425177
10.5,M,4.25,0,1,3.25,0,12.5,20.25,2.3333333333333335,87,1.0961658
10.25,M,9,1,1,0.75,0,11.5,19,5,30,-1.1650348
9.083333333333334,M,9,4,2,3.25,0,19,17.75,4.333333333333333,47,1.0425177
10.25,F,2,0,1,0,0,9,21.25,3,44,-1.1650348
9.666666666666666,M,8.25,1,1,0.75,0,14.5,20.25,4.333333333333333,25,-0.7891287
10.5,F,6.75,0,1,3.6666666666666665,0,16,14.333333333333334,3,51,-1.3974755
9.25,F,6,1,2,0.75,0,17,15,2.6666666666666665,26,-0.8287912
10.583333333333334,F,9.25,0,1,1.25,0,12,19.5,2.6666666666666665,39,-1.1650348
10,M,9,1,1,2.5,0,18,20.25,5,23,0.413664
10.916666666666666,M,9,2,2,3,0,14.5,15.5,5,45,0.3220071
9.833333333333334,F,3,2,2,1.5,0,9.5,23.25,4.333333333333333,100,1.0961658
9.083333333333334,F,6,1,2,1.25,0,11.5,18.75,4,13,1.0425177
10.5,F,8.75,1,2,5,0,19.5,17.25,3,77,-0.12828442
10.583333333333334,M,8,4,2,0.5,0,11,21.5,4.333333333333333,31,-0.12828442
9.833333333333334,F,6.25,0,1,3,0,10,19.5,3.6666666666666665,100,1.0961658
9.916666666666666,F,9,1,2,3,0,13,23,5,67,0.413664
10.833333333333334,M,9,0,1,4,0,17.5,20,5,11,-0.8287912
9,M,9.666666666666666,2,1,2,0,20,19.666666666666668,4.333333333333333,32,1.0425177
9.5,M,7.5,3,3,0.5,0,13.5,22.25,4,80,-1.2795755
10.083333333333334,F,1,0,1,1.5,0,11,23.25,3.3333333333333335,97,-0.03226128
10.333333333333334,M,9,0,1,1.25,0,9,21.25,5,27,0.3220071
9.416666666666666,M,9.25,1,2,3,0,10,19.75,3,56,-1.1650348
9.833333333333334,F,6.666666666666667,0,1,3.25,0,17.5,22.25,3.3333333333333335,11,-1.3974755
9.333333333333334,M,5.25,1,2,3.5,0,10,20,3.6666666666666665,65,-0.03226128
9.833333333333334,M,8.5,1,1,2.75,0,11,18.25,3.6666666666666665,80,0.18910469
9.833333333333334,M,9,2,1,2,0,15,22.5,4.666666666666667,27,0.18910469
9,F,7.75,2,3,1.75,0,12,19.5,3.3333333333333335,62,0.18910469
9.833333333333334,M,9,2,2,1,1,10.5,20.25,4.666666666666667,27,0.18910469
9.75,M,8,0,1,1,0,12,22,3.6666666666666665,14,1.0517093
10.333333333333334,F,8.25,1,2,0.5,0,13,21.25,4.333333333333333,69,-0.16266835
11,F,10,2,2,0.5,0,10,18.5,4.666666666666667,19,-0.3676427
11,F,9,1,2,1,0,11,17.5,3,5,-1.3974755
10.5,F,3.25,1,2,1.75,0,13,20.75,3.6666666666666665,72,1.0517093
9.083333333333334,F,10,3,2,2.25,0,9,21.25,4.666666666666667,7,-1.3974755
9.666666666666666,F,4,2,1,1.5,0,11,19,3.3333333333333335,38,-1.3974755
10.5,F,8.25,1,1,0.5,0,11,21.5,3.6666666666666665,59,-0.8287912
9.666666666666666,F,7,1,1,2.75,0,9,19.25,4,41,0.3220071
10.333333333333334,M,7.25,1,1,2.75,0,19,19.25,4.333333333333333,27,-1.3974755
9.666666666666666,F,1.5,2,1,1,0,12,18.5,1.3333333333333333,24,-1.3974755
9.083333333333334,F,9,0,1,2.25,0,11,18.25,5,7,-1.3974755
9.75,F,10,3,1,1,0,10.5,21.75,5,12,1.0517093
9.333333333333334,M,8.25,3,3,1.5,0,9,22,3.3333333333333335,24,-0.16266835
10,F,9,1,2,0,0,9,23.5,4.666666666666667,34,-0.16266835
10.5,M,9,1,1,1.25,0,14,19,4.666666666666667,34,1.0425177
10.416666666666666,F,6,0,1,3.25,0,13.5,20.75,3.6666666666666665,100,-0.12828442
10.25,F,9,1,1,1,0,10,23.5,3.6666666666666665,28,-0.8287912
10.916666666666666,F,8,2,3,1.25,0,9,20.75,5,30,1.0425177
9.083333333333334,M,5.25,0,1,4.25,0,20.5,17.5,5,47,-0.12828442
9.833333333333334,M,9.25,1,1,0.75,0,15.5,19.5,4.333333333333333,21,0.3220071
10.166666666666666,M,8.75,1,1,0.25,0,9,22.5,4.333333333333333,28,-0.3676427
9.083333333333334,M,9.75,1,1,1,0,10,19.25,5,12,1.0425177
10.75,M,3,1,1,3,0,23.5,20,3.3333333333333335,66,0.413664
10.75,M,8,4,5,0.75,0,10.5,21.25,4,76,1.0425177
9,M,8.75,2,2,1,0,10,16,4.666666666666667,39,1.0425177
10.333333333333334,M,6.25,2,1,2.5,0,11.5,21.5,4,63,-0.12828442
10.666666666666666,F,9,0,1,1.5,0,10,20.5,5,5,1.0517093
9.5,M,1.6666666666666667,1,1,3.75,0,10.5,20.75,3.6666666666666665,87,0.3220071
9.833333333333334,M,9,4,4,1.25,0,21,21.75,3.3333333333333335,29,-1.1650348
10,M,6,0,1,2.25,0,10,17,4,4,-1.3974755
9.25,M,6,1,2,3,0,9,21.75,3.6666666666666665,48,1.0425177
9,F,8.5,0,1,0.5,0,12,16.75,4,25,-1.3770518
10.916666666666666,F,7.75,0,1,0,0,9,18.25,3.3333333333333335,11,-0.8287912
10.666666666666666,M,3,3,1,1.5,0,9,21,3,93,0.413664
10.833333333333334,F,10,1,1,1.75,0,17.5,19.5,4.333333333333333,11,0.413664
10.833333333333334,F,8.5,2,1,0.75,0,12.5,22,5,32,-0.3676427
10.666666666666666,M,6.75,1,1,1,0,9,19.25,3.3333333333333335,9,-1.3974755
9.583333333333334,F,9,2,2,1.75,0,12.5,19,4.666666666666667,42,-0.3676427
9,M,8,0,1,0,1,9,20.75,5,28,-1.2795755
10.75,M,7.25,3,2,0,0,9.5,18.75,3.6666666666666665,43,-0.7891287
9.083333333333334,M,9,4,2,2.25,0,9.5,19.75,4,20,-0.6193691
9.583333333333334,M,6.75,0,1,2.75,0,10,19.25,4.333333333333333,41,1.0425177
10.666666666666666,F,1.75,1,1,2,0,9,20.25,2,84,1.0961658
9.916666666666666,F,10,1,1,1.5,0,10.5,22.75,4.666666666666667,1,-1.3974755
10.25,F,8.75,1,1,0.75,0,16,21.25,5,46,-1.3770518
9.416666666666666,M,9.5,1,1,0.5,0,13,20.5,4.666666666666667,15,-1.1650348
10,M,8.75,1,1,2.25,0,12,18.5,4.333333333333333,41,-0.7891287
10.75,F,9,3,2,2.25,0,14.5,18,5,23,0.413664
10.833333333333334,F,8.25,3,2,2.25,0,10.5,18.5,5,9,-1.1650348
